"","E","N","group","country","long","lat"
"11352",4589,5720,24,40,18.8411156223662,74.5118076344075
"11353",4599,5722,24,40,19.1768039410892,74.5177468459158
"11354",4602,5718,24,40,19.2538209209939,74.4778763685585
"11355",4602,5715,24,40,19.2384086195141,74.4507711035091
"11356",4602,5708,24,40,19.2026584112688,74.3875259466313
"11357",4582,6170,25,40,21.5637419461893,78.5922724836688
"11358",4586,6168,25,40,21.7187022100301,78.5678054275886
"11359",4593,6170,25,40,22.0392082321341,78.5744506055248
"11360",4600,6152,25,40,22.1723937295682,78.4004421913595
"11361",4606,6134,25,40,22.2601506961239,78.2281256200568
"11362",4610,6133,25,40,22.4184462855599,78.2123561869087
"11363",4616,6137,25,40,22.7071360877772,78.2380467589217
"11364",4622,6139,25,40,22.9776205703063,78.2454866418543
"11365",4625,6138,25,40,23.0934114465415,78.2311462767845
"11366",4632,6134,25,40,23.346001608451,78.1825598247539
"11367",4635,6130,25,40,23.4308909254945,78.1411666862486
"11368",4634,6127,25,40,23.3597576479563,78.1160755996496
"11369",4629,6123,25,40,23.1139062254022,78.0892092980463
"11370",4631,6112,25,40,23.090500999719,77.9868187179178
"11371",4637,6110,25,40,23.3168477482648,77.9580361175952
"11372",4647,6102,25,40,23.6456627734659,77.8678800875532
"11373",4652,6102,25,40,23.8481922945777,77.858497817285
"11374",4660,6108,25,40,24.2331385839445,77.896858678389
"11375",4669,6103,25,40,24.5450152369416,77.8345159281469
"11376",4679,6096,25,40,24.8726641973677,77.7520067615172
"11377",4663,6082,25,40,24.0899937584275,77.6585618412514
"11378",4663,6078,25,40,24.0501637964259,77.622787638175
"11379",4662,6070,25,40,23.9316906516317,77.5531300175727
"11380",4661,6063,25,40,23.8241874385981,77.4923816062367
"11381",4659,6059,25,40,23.7071362287384,77.4603256784247
"11382",4655,6051,25,40,23.4747847652317,77.3960764198153
"11383",4653,6048,25,40,23.3687244427129,77.3728473590683
"11384",4646,6047,25,40,23.0860194947188,77.3764935507177
"11385",4644,6044,25,40,22.9808144900502,77.353122373487
"11386",4643,6039,25,40,22.8971793943024,77.3100009773312
"11387",4641,6034,25,40,22.7752846678126,77.2686008602065
"11388",4635,6032,25,40,22.5249395937606,77.260971564702
"11389",4631,6037,25,40,22.4121563540386,77.3127235962365
"11390",4631,6039,25,40,22.4292945294896,77.3307096836016
"11391",4631,6042,25,40,22.4550946386765,77.3576878676896
"11392",4629,6049,25,40,22.4371012758568,77.4240353790643
"11393",4633,6058,25,40,22.6736615598271,77.4981049758589
"11394",4633,6062,25,40,22.7092589347981,77.5340553624338
"11395",4631,6063,25,40,22.6388735826404,77.5465021066479
"11396",4630,6063,25,40,22.5991994812638,77.548223867109
"11397",4625,6064,25,40,22.4094103356511,77.565749927128
"11398",4624,6064,25,40,22.3696486683232,77.5674409265412
"11399",4622,6059,25,40,22.2469436828743,77.5258006174981
"11400",4617,6055,25,40,22.0147752104304,77.4980593493562
"11401",4613,6053,25,40,21.83969981982,77.4865500633043
"11402",4594,6044,25,40,21.016268596654,77.4349731880399
"11403",4591,6046,25,40,20.9128879770727,77.4575406875825
"11404",4587,6057,25,40,20.8378067067304,77.5629339614976
"11405",4594,6064,25,40,21.1722186232694,77.6156751732784
"11406",4593,6074,25,40,21.2116042779845,77.7075508491068
"11407",4594,6081,25,40,21.3084544321417,77.7692482936328
"11408",4595,6086,25,40,21.3898439546538,77.8128571171122
"11409",4597,6097,25,40,21.5627537887346,77.9090440290409
"11410",4598,6098,25,40,21.6121230668659,77.9164858255924
"11411",4586,6105,25,40,21.1768962282016,77.998439396611
"11412",4581,6110,25,40,21.0107437538009,78.0512534261014
"11413",4574,6121,25,40,20.8078285885497,78.1612659908074
"11414",4571,6130,25,40,20.7541988763999,78.2471944988254
